"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"OTHLQ2","31","Structural","3","General","2","1997 National","PUF","Other apartments in building","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported","","","","","",
"DOCS","32","Structural","3","General","2","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro, 1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 National, 1977 Metro, 1976 National, 1976 Metro, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Medical or dental office in building","Flat File","Character","","","1: Yes||2: No||9: Not applicable","","","","","",
"DOCS","32","Structural","3","General","2","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Medical or dental office in building","Flat File","Character","","","1: Yes||2: No||Blank: Not applicable / Not reported","","","","","",
"MEASUR","33","Structural","3","General","2","1996 Metro, 1995 Metro","PUF","Source of data on size of unit","Flat File","Character","","","1: Respondent provided square footage, or non interview||2: Respondent provided length and width of each floor","","","","","",
"MEASUR","33","Structural","3","General","2","1995 National, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1990 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 National, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Source of data on size of unit","Flat File","Character","","","1: Respondent provided square footage, or non interview||2: Respondent provided length and width of each floor||3: Interviewer measured unit","","","","","",
"MH4(1 - 5)","34","Structural","3","General","2","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro","PUF","Model year of mobile home 1 - 5 on this property","Flat File","Numeric","","","1: All mobile homes already listed||05 : YY: 1905 to 19YY||98: Not reported||99: Not applicable","","","","","",
"MH4(1 - 5)","34","Structural","3","General","2","1995 National","PUF","Model year of mobile home 1 - 5 on this property","Flat File","Numeric","","","1: All mobile homes already listed||05 : YY: 1905 to 19YY||98: Not reported||. : Not applicable","","","","","",
"MH4(1 - 5)","34","Structural","3","General","2","1993 National, 1991 National","PUF","Model year of mobile home 1 - 5 on this property","Flat File","Numeric","","","1: All mobile homes already listed||05 : YY: 1905 to 19YY||. : Not applicable / Not reported","","","","","",
"MH4(1 - 5)","34","Structural","3","General","2","1992 Metro","PUF","Model year of mobile home 1 - 5 on this property","Flat File","Numeric","","","05 : YY: 1905 to 19YY||98: Not reported||99: Not applicable","","","","","",
"OFFICE","35","Structural","3","General","2","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro","PUF","Number of rooms that are used for business with separate access","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||9: Not applicable","","","","","",
"OFFICE","35","Structural","3","General","2","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Number of rooms that are used for business with separate access","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||. : Not applicable / Not reported","","","","","",
"OFFICE","35","Structural","3","General","2","1984 Metro","PUF","Number of rooms that are used for business with separate access","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||9: Not applicable","","","","","",
"SHOPS","36","Structural","3","General","2","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro, 1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 National, 1977 Metro, 1976 National, 1976 Metro, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Commercial establishments in building","Flat File","Character","","","1: Yes||2: No||9: Not applicable","","","","","",
"SHOPS","36","Structural","3","General","2","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Commercial establishments in building","Flat File","Character","","","1: Yes||2: No||Blank: Not applicable / Not reported","","","","","",
"NEWADD","37","Structural","3","General","2","1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","New additions built in last two years","Flat File","Character","","","1: Yes, work done, not known by whom||2: No, work described not done||3: Yes, work done, by household member||4: Yes, work done, not by household member||8: Not reported||9: Not applicable","","","","","",
"NEWADD","37","Structural","3","General","2","1991 National, 1989 National, 1987 National, 1985 National","PUF","New additions built in last two years","Flat File","Character","","","1: Yes, work done, not known by whom||2: No, work described not done||3: Yes, work done, by household member||4: Yes, work done, not by household member||Blank: Not applicable / Not reported","","","","","",
"MH34","38","Structural","3","General","2","1992 Metro","PUF","Mobile home on this property","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"MH36","39","Structural","3","General","2","1992 Metro","PUF","Garage on this property","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"MH38","40","Structural","3","General","2","1992 Metro","PUF","Other type of building on this property","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"MH47","41","Structural","3","General","2","1992 Metro","PUF","Rooms in mobile home, garage, or other type of building on this property used for living quarters","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"MHEX","42","Structural","3","General","2","1991 Metro","PUF","Extra mobile homes used as storage or rooms (not separate units)","Flat File","Numeric","","","0: None||1 : 7: 1 to 7||8: Not reported||9: Not applicable","","","","","",
"MHEX","42","Structural","3","General","2","1990 Metro","PUF","Extra mobile homes used as storage or rooms (not separate units)","Flat File","Numeric","","","0: None||1 : 7: 1 to 7||8: Not reported","","","","","",
"MHEX","42","Structural","3","General","2","1989 National","PUF","Extra mobile homes used as storage or rooms (not separate units)","Flat File","Numeric","","","0: None||1 : 7: 1 to 7||. : Not applicable / Not reported","","","","","",
"MEASU1","43","Structural","3","General","2","1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Permission for interviewer to measure house size","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"MEASU1","43","Structural","3","General","2","1985 National","PUF","Permission for interviewer to measure house size","Flat File","Character","","","1: Yes||2: No||Blank: Not applicable / Not reported","","","","","",
"INSTRC","44","Structural","3","General","2","1983 National, 1980 National","PUF","Received set-up or installation instructions","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"LIMWRN","45","Structural","3","General","2","1983 National, 1980 National","PUF","Limited warranty on mobile home","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"MGRHERE","46","Structural","3","General","2","1983 National, 1978 Metro, 1977 National, 1977 Metro, 1976 National, 1976 Metro, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Manager, superintendent, or janitor lives here","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"MHINYR","47","Structural","3","General","2","1983 National, 1980 National","PUF","Mobile home placed on site in past 12 months","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"MHRED","48","Structural","3","General","2","1983 National, 1980 National","PUF","Mobile home has red manufacturer's label","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"MNEWM","49","Structural","3","General","2","1983 National","PUF","Mobile home was new when head of household moved in","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"MNEWM","49","Structural","3","General","2","1980 National","PUF","Mobile home was new when head of household moved in","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"NEWM","50","Structural","3","General","2","1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 National, 1977 Metro, 1976 National, 1976 Metro, 1975 National, 1975 Metro, 1974 National","PUF","Mobile home new when acquired (mobile home on less than 10 acres)","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"NEWMOT","51","Structural","3","General","2","1983 National, 1983 Metro","PUF","Mobile home new when acquired (mobile home on more than 10 acres)","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"NUMCND","52","Structural","3","General","2","1983 National, 1983 Metro, 1981 National, 1980 National","PUF","Number of units in condominium or cooperative development","Flat File","Character","","","1: Less than 50||2: 50 to 99||3: 100 to 499||4: 500 or more||5: Don't know||8: Not reported||9: Not applicable","","","","","",
"NUMSIT","53","Structural","3","General","2","1983 National, 1980 National","PUF","Number of sites mobile home placed on since owned","Flat File","Character","","","1: 1||2: 2 to 3||3: 4 or more||8: Not reported||9: Not applicable","","","","","",
"OWNCARD","54","Structural","3","General","2","1983 National, 1980 National","PUF","Received owner info card when mobile home acquired","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"OWNMAN","55","Structural","3","General","2","1983 National, 1980 National","PUF","Received owners manual when mobile home acquired","Flat File","Character","","","1: Yes||2: No||3: Don't know||8: Not reported||9: Not applicable","","","","","",
"WBLOC","56","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of bad location, neighborhood problems, commuting problems","Flat File","Character","","","0: Not reported||1: Unsatisfied with mobile home because of bad location, neighborhood problems, or commuting||9: Not applicable / Not reported","","","","","",
"WBNVST","57","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of bad investment","Flat File","Character","","","0: Not reported||6: Unsatisfied with mobile home because of bad investment||9: Not applicable / Not reported","","","","","",
"WBOTHR","58","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of other reason","Flat File","Character","","","0: Not reported||7: Unsatisfied with mobile home because of other reason||8: Not reported||9: Not applicable / Not reported","","","","","",
"WBQUAL","59","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of quality of construction or workmanship","Flat File","Character","","","0: Not reported||2: Unsatisfied with mobile home because of quality of construction or workmanship||9: Not applicable / Not reported","","","","","",
"WBSAFE","60","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of safety","Flat File","Character","","","0: Not reported||4: Unsatisfied with mobile home because of safety||9: Not applicable / Not reported","","","","","",
"WBSIZE","61","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of size, too large or small","Flat File","Character","","","0: Not reported||3: Unsatisfied with mobile home because of size being too large or small||9: Not applicable / Not reported","","","","","",
"WBXPEN","62","Structural","3","General","2","1983 National, 1980 National","PUF","Unsatisfied with mobile home because of too expensive utilities, maintenance charges, fees","Flat File","Character","","","0: Not reported||5: Unsatisfied with mobile home because of too expensive utilities, maintenance charges, or fees||9: Not applicable / Not reported","","","","","",
"WHOSET","63","Structural","3","General","2","1983 National, 1980 National","PUF","Who set up mobile home on this site","Flat File","Character","","","1: Dealer||2: Professional employed by dealer or mobile home park||3: Professional mover or transport company specializing in mobile home installation||4: Manufacturer||5: Household member||6: Other||8: Not reported||9: Not applicable","","","","","",
"ZBUILT","64","Structural","3","General","2","1983 Metro, 1982 Metro, 1981 Metro, 1980 Metro, 1979 Metro, 1978 Metro","PUF","Unit was added through new construction since last enumeration period","Flat File","Character","","","1: Yes||2: No||9: Not applicable","","","","","",
"ZBUILT","64","Structural","3","General","2","1977 Metro","PUF","Unit was added through new construction since last enumeration period","Flat File","Character","","","1: Yes||2: No","","","","","",
"BATHEXCLU","1","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating the unit's bathroom facilities are for the exclusive use of the household","HOUSEHOLD","Character","JBATHEXCLU","Coming soon","1: Bathroom is outside unit but inside building||2: Bathroom is outside building||M or -9: Not reported||N or -6: Not applicable","Earlier you reported not having a bathroom in your unit, is your bathroom: Outside the apartment or unit, but inside the building? Or Outside the building?","See User Notes","None","INTSTATUS in ('1' '2' '3') and BATHROOMS = '13'","This question is only asked when the respondent has earlier reported no bathrooms or half baths. Respondents are then asked a follow-up question if they have access to a bathroom outside of the unit within the building or outside of the building. The instrument name for this variable used to be SHARBATH in 2015 and was changed to BATHEXCLU from 2017 onwards. AHS began imputing BATHEXCLU in 2017.",
"BATHROOMS","2","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of bathrooms in unit","HOUSEHOLD","Character","JBATHROOMS","Coming soon","01: One full bathroom||02: 1.5 bathrooms||03: 2 full bathrooms||04: 2.5 bathrooms||05: 3 full bathrooms||06: More than 3 full bathrooms||07: No full bath: sink and tub present||08: No full bath: sink and toilet present||09: No full bath: tub and toilet present||10: No full bath: sink only||11: No full bath: tub only||12: No full bath: toilet only||13: No full bath: no sink, tub or toilet","See User Notes","See User Notes","Collapsed","INTSTATUS in ('1' '2' '3')","BATHROOMS is determined using information from BATHS (A full bathroom is one that has a sink with running water, a toilet, and either a bathtub or shower. How many full bathrooms are in this unit?) and HALFB (A half-bathroom is one that has either a toilet or a bathtub or a shower. How many half bathrooms are in this unit?), as well as BSINK, TUB, and TOILET (Does this unit have a bathroom sink, bathtub or shower, flush toilet).",
"BEDROOMS","3","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of bedrooms in unit","HOUSEHOLD","Numeric","JBEDROOMS","Coming soon","0 : 9: 0 to 9||10: 10 or more","How many bedrooms are there in this unit?","BEDRMS","Topcoded","INTSTATUS in ('1' '2' '3')","",
"DENS","4","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","IUF Only","Number of dens or libraries in unit","HOUSEHOLD","Numeric","JDENS","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many dens or libraries?","DENS","Withheld","INTSTATUS in ('1' '2' '3')","",
"DENS","4","Structural","3","Interior Features","3","2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Number of dens, libraries, TV rooms in unit","HOUSEHOLD","Numeric","JDENS","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many dens or libraries?","DENS","Withheld","INTSTATUS in ('1' '2' '3')","",
"DENS","4","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of dens, libraries, TV rooms in unit","HOUSEHOLD","Numeric","JDENS","","0 : 5: 0 to 5 dens, libraries, or TV rooms","","","","","",
"DENS","4","Structural","3","Interior Features","3","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Number of family rooms, dens, recreation rooms and or libraries","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||9: Not applicable","","","","","",
"DENS","4","Structural","3","Interior Features","3","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Number of family rooms, dens, recreation rooms and or libraries","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||. : Not applicable / Not reported","","","","","",
"DINING","5","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of dining rooms in unit","HOUSEHOLD","Numeric","JDINING","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many separate dining rooms?","DINING","Topcoded","INTSTATUS in ('1' '2' '3')","A separate dining room is one that is separated from other rooms by archways or walls extending at least six inches.",
"DINING","5","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of dining rooms in unit","HOUSEHOLD","Numeric","JINING","","0 : 5: 0 to 5","","","","","",
"DINING","5","Structural","3","Interior Features","3","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Number of dining rooms in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more","","","","","",
"DINING","5","Structural","3","Interior Features","3","1990 Metro","PUF","Number of dining rooms in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||9: Not applicable","","","","","",
"DINING","5","Structural","3","Interior Features","3","1987 National","PUF","Number of dining rooms in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||. : Not applicable / Not reported","","","","","",
"FAMROOMS","6","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Number of family rooms, great rooms, or TV rooms in unit","HOUSEHOLD","Numeric","JFAMROOMS","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many family rooms, great rooms, or TV rooms?","FAMRM","Withheld","INTSTATUS in ('1' '2' '3')","",
"FINROOMS","7","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of other finished rooms in unit","HOUSEHOLD","Numeric","JFINROOMS","Coming soon","0 : 24: 0 to 24||25: 25 or more","See User Notes","See User Notes","Topcoded","INTSTATUS in ('1' '2' '3')","FINROOMS is the sum of LIVING (number of living rooms), FAMROOMS (family rooms, great rooms, or TV rooms), RECROOMS (recreation rooms), DENS (dens or libraries), and OTHFN (other finished rooms).",
"FOUNDTYPE","8","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of foundation","HOUSEHOLD","Character","JFOUNDTYPE","Coming soon","1: Basement under all of the house||2: Basement under part of the house||3: Crawl space||4: Concrete slab||5: Mobile home set up on a masonry foundation||6: Mobile home resting on a concrete pad||7: Mobile home up on blocks, but not on a concrete pad||8: Foundation set up in some other way||9: Mobile home foundation not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')","FOUNDTYPE is determined using information from CELAR1Q (Is this house built with a basement, crawl space, concrete slab, or some other way?), CELAR2Q (Is the basement under all or part of the house?), and MHSETQ (Is the manufactured/mobile home set up on a permanent masonry foundation, a concrete pad, or up on blocks?).",
"KITCHENS","9","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of kitchens in unit","HOUSEHOLD","Numeric","JKITCHENS","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many kitchens?","KITCH","Topcoded","INTSTATUS in ('1' '2' '3')","",
"KITEXCLU","10","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating the unit's kitchen facilities are for the exclusive use of the household","HOUSEHOLD","Character","JKITEXCLU","Coming soon","1: Yes||2: No||N or -6: Not applicable","Are these kitchen facilities for your household's use only?","KEXCLU","None","INTSTATUS in ('1' '2' '3') and COOKTYPE in ('1' '2' '3') and FRIDGE = '1' and KITCHSINK = '1' and BLD in ('04' '05' '06' '07' '08' '09')","",
"LAUNDY","11","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of laundry or utility rooms in unit","HOUSEHOLD","Numeric","JLAUNDY","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many laundry, utility, or pantry rooms?","LAUNDY","Topcoded","INTSTATUS in ('1' '2' '3')","",
"LAUNDY","11","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of laundry or utility rooms in unit","HOUSEHOLD","Numeric","JAUNDY","","0 : 5: 0 to 5 laundry or utility rooms","","","","","",
"LIVING","12","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Number of living rooms in unit","HOUSEHOLD","Numeric","JLIVING","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many living rooms?","LIVING","Withheld","INTSTATUS in ('1' '2' '3')","",
"LIVING","12","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2007 National, 2005 National, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro","PUF","Number of living rooms in unit","HOUSEHOLD","Numeric","JIVING","","0 : 4: 0 to 4||5: 5 or more","","","","","",
"LIVING","12","Structural","3","Interior Features","3","2009 Metro, 2007 Metro, 2004 Metro, 1997 National","PUF","Number of living rooms in unit","HOUSEHOLD","Numeric","JIVING","","0 : 4: 0 to 4","","","","","",
"LIVING","12","Structural","3","Interior Features","3","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Number of living rooms in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more","","","","","",
"LIVING","12","Structural","3","Interior Features","3","1990 Metro","PUF","Number of living rooms in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||9: Not applicable","","","","","",
"LIVING","12","Structural","3","Interior Features","3","1987 National","PUF","Number of living rooms in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||. : Not applicable / Not reported","","","","","",
"OTHFN","13","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","IUF Only","Number of other finished rooms in unit","HOUSEHOLD","Numeric","JOTHFN","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many other finished rooms?","OTHFN","Withheld","INTSTATUS in ('1' '2' '3')","",
"OTHFN","13","Structural","3","Interior Features","3","2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Number of other finished rooms in unit","HOUSEHOLD","Numeric","JOTHFN","Coming soon","0 : 9: 0 to 9||10: 10 or more","How many other finished rooms?","OTHFN","Withheld","INTSTATUS in ('1' '2' '3')","",
"OTHFN","13","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of other finished rooms in unit","HOUSEHOLD","Numeric","JOTHFN","","0 : 10: 0 to 10 other finished rooms","","","","","",
"RECROOMS","14","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Number of recreation rooms in unit","HOUSEHOLD","Numeric","JRECROOMS","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many recreation rooms?","RECRM","Withheld","INTSTATUS in ('1' '2' '3')","",
"STORIES","15","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of stories in building","HOUSEHOLD","Numeric","JSTORIES","Coming soon","1 : 6: 1 to 6 stories||7: 7 stories or more","How many stories are in this building?","STORIES","Collapsed","INTSTATUS in ('1' '2' '3')","STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",
"STORIES","15","Structural","3","Interior Features","3","2015 National, 2015 Metro","PUF","Number of stories in building","HOUSEHOLD","Numeric","JSTORIES","Coming soon","1 : 6: 1 to 6 stories||7: 7 stories or more","How many stories are there in this building ?","FLOORSQ","Collapsed","INTSTATUS in ('1' '2' '3')","STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",
"STORIES_IUF","16","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","IUF Only","Number of stories in building","HOUSEHOLD","Numeric","JSTORIES_IUF","Coming soon","1 : 20: 1 to 20 stories||21: 21 stories or more","How many stories are in this building?","STORIES","Withheld","INTSTATUS in ('1' '2' '3')","STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",
"STORIES_IUF","16","Structural","3","Interior Features","3","2015 National, 2015 Metro","IUF Only","Number of stories in building","HOUSEHOLD","Numeric","JSTORIES_IUF","Coming soon","1 : 20: 1 to 20 stories||21: 21 stories or more","How many stories are there in this building ?","FLOORSQ","Withheld","INTSTATUS in ('1' '2' '3')","STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",
"TOTROOMS","17","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of rooms in unit","HOUSEHOLD","Numeric","JTOTROOMS","Coming soon","0 : 26: 0 to 26||27: 27 or more","NA","NA","Topcoded","INTSTATUS in ('1' '2' '3')","The total number of rooms is the sum of BEDROOMS, KITCHENS, DINING, and FINROOMS.",
"UFINROOMS","18","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of other unfinished rooms in unit","HOUSEHOLD","Numeric","JUFINROOMS","Coming soon","0 : 4: 0 to 4||5: 5 or more||M or -9: Not reported","How many other UNFINISHED rooms?","OTHRUN","Topcoded","INTSTATUS in ('1' '2' '3')","",
"UNITFLOORS","19","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of floors within the unit","HOUSEHOLD","Numeric","JUNITFLOORS","Coming soon","1 : 2: 1 to 2 floors||3: 3 or more floors","How many floors are in this unit?","FLOORSQ","Collapsed","INTSTATUS in ('1' '2' '3')","For single family homes and manufactured homes, STORIES and UNITFLOORS have the same value.",
